generation,mean,ci
102,0.8310317460317459,0.031503104556659466
103,0.8310317460317459,0.031503104556659466
104,0.8300793650793651,0.031338992360539844
105,0.8310317460317459,0.031503104556659466
106,0.8310317460317459,0.031503104556659466
107,0.8310317460317459,0.031503104556659466
108,0.8310317460317459,0.031503104556659466
109,0.8300793650793651,0.030992012776957192
110,0.8300793650793651,0.030992012776957192
111,0.829126984126984,0.031170161711590785
112,0.8300793650793651,0.030992012776957192
113,0.8300793650793651,0.030992012776957192
114,0.8348412698412698,0.02816720968490194
115,0.8348412698412698,0.02816720968490194
116,0.8348412698412698,0.02816720968490194
117,0.8348412698412698,0.02816720968490194
118,0.8348412698412698,0.02816720968490194
119,0.8348412698412698,0.02816720968490194
120,0.8348412698412698,0.02816720968490194
121,0.8348412698412698,0.02816720968490194
122,0.8348412698412698,0.02816720968490194
123,0.8348412698412698,0.02816720968490194
124,0.8348412698412698,0.02816720968490194
125,0.8348412698412698,0.02816720968490194
126,0.8348412698412698,0.02816720968490194
127,0.8348412698412698,0.02816720968490194
128,0.8348412698412698,0.02816720968490194
129,0.8348412698412698,0.02816720968490194
130,0.8348412698412698,0.02816720968490194
131,0.8348412698412698,0.02816720968490194
132,0.8348412698412698,0.02816720968490194
133,0.8348412698412698,0.02816720968490194
134,0.8348412698412698,0.02816720968490194
135,0.8348412698412698,0.02816720968490194
136,0.8348412698412698,0.02816720968490194
137,0.8357936507936508,0.028328489606755037
138,0.8357936507936508,0.028328489606755037
139,0.8357936507936508,0.028328489606755037
140,0.8357936507936508,0.028328489606755037
141,0.8357936507936508,0.028328489606755037
142,0.8357936507936508,0.028328489606755037
143,0.8357936507936508,0.028328489606755037
144,0.8367460317460318,0.02823041352953964
145,0.8367460317460318,0.02823041352953964
146,0.8357936507936508,0.028328489606755037
147,0.8367460317460318,0.02823041352953964
148,0.8357936507936508,0.02807285045369334
149,0.8357936507936508,0.02807285045369334
150,0.8339153439153439,0.027874852055831213
151,0.8357936507936508,0.02820095969994158
152,0.8348412698412699,0.028294891709203136
153,0.8329365079365079,0.028846509341301698
154,0.8329365079365079,0.028846509341301698
155,0.8338888888888889,0.02851099006632749
156,0.8338888888888889,0.02851099006632749
157,0.8348412698412698,0.02904920083667235
158,0.8357936507936508,0.029081927305696597
159,0.8339153439153439,0.02864022607362363
160,0.8339153439153439,0.02864022607362363
161,0.8339153439153439,0.02864022607362363
162,0.8339153439153439,0.02864022607362363
163,0.8339153439153439,0.02864022607362363
164,0.8339153439153439,0.02864022607362363
165,0.8339153439153439,0.02864022607362363
166,0.8348677248677248,0.028041979788056226
167,0.8348677248677248,0.028041979788056226
168,0.8348677248677248,0.028041979788056226
169,0.8339153439153439,0.02761501378471284
170,0.8339153439153439,0.02761501378471284
171,0.8339153439153439,0.02761501378471284
172,0.8339153439153439,0.02761501378471284
173,0.8348677248677248,0.027127260507055665
174,0.8348677248677248,0.027127260507055665
175,0.8358201058201059,0.027162179846272085
176,0.8329629629629629,0.02664110084255905
177,0.8339153439153438,0.026685663164212125
178,0.8348412698412697,0.02712412465343062
179,0.8348412698412697,0.02712412465343062
180,0.8348412698412697,0.02712412465343062
181,0.8348412698412697,0.02712412465343062
182,0.8348412698412697,0.02712412465343062
183,0.8348412698412697,0.02712412465343062
184,0.8348412698412697,0.02712412465343062
185,0.8348412698412697,0.02712412465343062
186,0.8357936507936508,0.027291569397556403
187,0.8357936507936508,0.027291569397556403
188,0.8357936507936508,0.027291569397556403
189,0.8357936507936508,0.027291569397556403
190,0.8348412698412697,0.02712412465343062
191,0.8348412698412697,0.02712412465343062
192,0.8348412698412697,0.02712412465343062
193,0.8348412698412697,0.02712412465343062
194,0.8348412698412697,0.02712412465343062
195,0.8348412698412697,0.02712412465343062
196,0.8348412698412697,0.02712412465343062
197,0.8348412698412697,0.02712412465343062
198,0.8348412698412697,0.02712412465343062
199,0.8348412698412697,0.02712412465343062
200,0.8348412698412697,0.02712412465343062
201,0.8348412698412697,0.02712412465343062
202,0.8348412698412697,0.02712412465343062
203,0.8338888888888889,0.027084597193551493
204,0.8338888888888889,0.027084597193551493
205,0.8338888888888889,0.027084597193551493
206,0.8338888888888889,0.027084597193551493
207,0.8348412698412697,0.02712412465343062
208,0.8348412698412697,0.02712412465343062
209,0.8348412698412697,0.02712412465343062
210,0.8348412698412697,0.02712412465343062
211,0.8348412698412697,0.02712412465343062
212,0.8348412698412697,0.02712412465343062
213,0.8348412698412697,0.02712412465343062
214,0.8348412698412697,0.02712412465343062
215,0.8348412698412697,0.02712412465343062
216,0.8348412698412697,0.02712412465343062
217,0.8348412698412697,0.02712412465343062
218,0.8348412698412697,0.02712412465343062
219,0.8348412698412697,0.02712412465343062
220,0.8348412698412697,0.02712412465343062
221,0.8348412698412697,0.02712412465343062
222,0.8348412698412697,0.02712412465343062
223,0.8348412698412697,0.02712412465343062
224,0.8348412698412697,0.02712412465343062
225,0.8348412698412697,0.02712412465343062
226,0.8357936507936508,0.027423328674395744
227,0.8357936507936508,0.027423328674395744
228,0.8357936507936508,0.027423328674395744
229,0.8357936507936508,0.027423328674395744
230,0.8357936507936508,0.027423328674395744
231,0.8376455026455025,0.025857428542895616
232,0.8376455026455025,0.025857428542895616
